mtknr;abschl;stg;pversion;psem;pnr;pltxt1
baf1223e5a3c153706b6514c8d73f89b;84;IM;222;20242;622222030;Verkehrsinfrastruktur 1
8e253028f5fa81ac3acea4cb5cad68c3;84;IM;222;20242;622222030;Verkehrsinfrastruktur 1
bf11a0bf57f008fce6c836184c6a6955;84;IM;222;20242;622222030;Verkehrsinfrastruktur 1
45234fb97cd647c77f6f444ca14dce9a;84;IM;222;20242;622222030;Verkehrsinfrastruktur 1
4bea4b482fcd530ba8b49b53ad3354a3;84;IM;222;20242;622222030;Verkehrsinfrastruktur 1
8f0209fda575c74a25074e6085bf3022;84;IM;222;20242;622222030;Verkehrsinfrastruktur 1
8e0566ee39c434b0d2594a5f0caf7e7e;84;IM;222;20242;622222030;Verkehrsinfrastruktur 1
06892903cec30af88a171f3e4531a53e;84;IM;222;20242;622222030;Verkehrsinfrastruktur 1
c1333d09b1625a2d25f6f22fd8973632;84;IM;222;20242;622222030;Verkehrsinfrastruktur 1
aefbba9881ea8da21e58a8d7aba38529;84;IM;222;20242;622222030;Verkehrsinfrastruktur 1
b2d48f2648e9cdcbb95270628171daac;84;IM;222;20242;622222030;Verkehrsinfrastruktur 1
b607dc703bf2b5e39b7ed73e855b1840;84;IM;222;20242;622222030;Verkehrsinfrastruktur 1
adc0a01daa20af154b13f8ee1e335794;84;IM;222;20242;622222030;Verkehrsinfrastruktur 1
c03a13c0618e3b3d0116292c8e74619c;84;IM;222;20242;622222030;Verkehrsinfrastruktur 1
5433894dbe066c2df6dba17ac716743a;84;IM;222;20242;622222030;Verkehrsinfrastruktur 1
7793ba79c9e27d1addd2e0c07788b958;84;IM;222;20242;622222040;Energie 1
0682af8c80688b9fd8d581eb840d0736;84;IM;222;20242;622222040;Energie 1
1544c9e20a748e111bd1ba29807b1fc3;84;IM;222;20242;622222040;Energie 1
bf4473e3dd32e5f60010947fb7b97e42;84;IM;222;20242;622222040;Energie 1
b28ef25ae757f175636170cb625dcf47;84;IM;222;20242;622222040;Energie 1
cbf00d9e59658955d9e94d8e5193ce4c;84;IM;222;20242;622222040;Energie 1
f80ee8557125bbd7aee7e9da8fe02992;84;IM;222;20242;622222040;Energie 1
b36fbd2dbfc5a018083d760af438f75d;84;IM;222;20242;622222040;Energie 1
28c008d38afbb09d0bf1b2394550b8d9;84;IM;222;20242;622222040;Energie 1
f1b2a532cc038aa08a0172d11046a1d4;84;IM;222;20242;622222040;Energie 1
ff25a00d2735e8c6e72dd9ca8a75d3b8;84;IM;222;20242;622222040;Energie 1
e61a1343a8fe2622eee5a962bb3567cb;84;IM;222;20242;622222040;Energie 1
d41225e6bcbceeecb4e7a42766bdc231;84;IM;222;20242;622222040;Energie 1
1a35d5baefe349240f35e6cfe0b07add;84;IM;222;20242;622222040;Energie 1
698322ce6e8bd1e8c93296e0c00c478f;84;IM;222;20242;622222040;Energie 1
352c6fd5cc5019c3c4a49270a788dff3;84;IM;222;20242;622222040;Energie 1
0f1ce70268b1e59f85212bd89b8a235e;84;IM;222;20242;622222040;Energie 1
baf1223e5a3c153706b6514c8d73f89b;84;IM;222;20242;622222040;Energie 1
8e253028f5fa81ac3acea4cb5cad68c3;84;IM;222;20242;622222040;Energie 1
bf11a0bf57f008fce6c836184c6a6955;84;IM;222;20242;622222040;Energie 1
45234fb97cd647c77f6f444ca14dce9a;84;IM;222;20242;622222040;Energie 1
4bea4b482fcd530ba8b49b53ad3354a3;84;IM;222;20242;622222040;Energie 1
8f0209fda575c74a25074e6085bf3022;84;IM;222;20242;622222040;Energie 1
8e0566ee39c434b0d2594a5f0caf7e7e;84;IM;222;20242;622222040;Energie 1
1da041fc84e19ec9444350d2f6ee808a;84;IM;222;20242;622222040;Energie 1
e98b19e95ee5ef1c4f62836ce24f47da;84;IM;222;20242;622222040;Energie 1
06892903cec30af88a171f3e4531a53e;84;IM;222;20242;622222040;Energie 1
c1333d09b1625a2d25f6f22fd8973632;84;IM;222;20242;622222040;Energie 1
aefbba9881ea8da21e58a8d7aba38529;84;IM;222;20242;622222040;Energie 1
b2d48f2648e9cdcbb95270628171daac;84;IM;222;20242;622222040;Energie 1
b607dc703bf2b5e39b7ed73e855b1840;84;IM;222;20242;622222040;Energie 1
adc0a01daa20af154b13f8ee1e335794;84;IM;222;20242;622222040;Energie 1
c03a13c0618e3b3d0116292c8e74619c;84;IM;222;20242;622222040;Energie 1
5433894dbe066c2df6dba17ac716743a;84;IM;222;20242;622222040;Energie 1
7793ba79c9e27d1addd2e0c07788b958;84;IM;222;20242;622222050;Projektmanagement und -entwicklung 1
0682af8c80688b9fd8d581eb840d0736;84;IM;222;20242;622222050;Projektmanagement und -entwicklung 1
a4c6809f6107c50aa65b0a720ea22800;84;IM;222;20242;622222050;Projektmanagement und -entwicklung 1
bf4473e3dd32e5f60010947fb7b97e42;84;IM;222;20242;622222050;Projektmanagement und -entwicklung 1
b28ef25ae757f175636170cb625dcf47;84;IM;222;20242;622222050;Projektmanagement und -entwicklung 1
cbd04dc91dfcd23978069e8afc29fca3;84;IM;222;20242;622222050;Projektmanagement und -entwicklung 1
cbf00d9e59658955d9e94d8e5193ce4c;84;IM;222;20242;622222050;Projektmanagement und -entwicklung 1
ca1e0d5fadd6b90f1bae378936aed07a;84;IM;222;20242;622222050;Projektmanagement und -entwicklung 1
f80ee8557125bbd7aee7e9da8fe02992;84;IM;222;20242;622222050;Projektmanagement und -entwicklung 1
b36fbd2dbfc5a018083d760af438f75d;84;IM;222;20242;622222050;Projektmanagement und -entwicklung 1
28c008d38afbb09d0bf1b2394550b8d9;84;IM;222;20242;622222050;Projektmanagement und -entwicklung 1
d37c982ddcd960cdfeb2d1ef53e4fb83;84;IM;222;20242;622222050;Projektmanagement und -entwicklung 1
f1b2a532cc038aa08a0172d11046a1d4;84;IM;222;20242;622222050;Projektmanagement und -entwicklung 1
ff25a00d2735e8c6e72dd9ca8a75d3b8;84;IM;222;20242;622222050;Projektmanagement und -entwicklung 1
e61a1343a8fe2622eee5a962bb3567cb;84;IM;222;20242;622222050;Projektmanagement und -entwicklung 1
d41225e6bcbceeecb4e7a42766bdc231;84;IM;222;20242;622222050;Projektmanagement und -entwicklung 1
1a35d5baefe349240f35e6cfe0b07add;84;IM;222;20242;622222050;Projektmanagement und -entwicklung 1
698322ce6e8bd1e8c93296e0c00c478f;84;IM;222;20242;622222050;Projektmanagement und -entwicklung 1
352c6fd5cc5019c3c4a49270a788dff3;84;IM;222;20242;622222050;Projektmanagement und -entwicklung 1
0f1ce70268b1e59f85212bd89b8a235e;84;IM;222;20242;622222050;Projektmanagement und -entwicklung 1
baf1223e5a3c153706b6514c8d73f89b;84;IM;222;20242;622222050;Projektmanagement und -entwicklung 1
8e253028f5fa81ac3acea4cb5cad68c3;84;IM;222;20242;622222050;Projektmanagement und -entwicklung 1
bf11a0bf57f008fce6c836184c6a6955;84;IM;222;20242;622222050;Projektmanagement und -entwicklung 1
41b64ccee6ef5c9c00daff2e343e2ced;84;IM;222;20242;622222050;Projektmanagement und -entwicklung 1
45234fb97cd647c77f6f444ca14dce9a;84;IM;222;20242;622222050;Projektmanagement und -entwicklung 1
